label,content,prov,level
text,"1 Mohamed bin Zayed University of Artificial Intelligence, UAE","[{'page_no': 1, 'bbox': {'l': 62.468, 't': 85.30200000000002, 'r': 272.997, 'b': 76.75300000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 62.0]}]",
text,Project Page: https://blazer-llm-agent.github.io/,"[{'page_no': 1, 'bbox': {'l': 62.468, 't': 65.66200000000003, 'r': 276.585, 'b': 58.82000000000005, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 49.0]}]",
text,LLM,"[{'page_no': 1, 'bbox': {'l': 363.707, 't': 505.944, 'r': 391.349, 'b': 492.813, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 3.0]}]",
text,BLAZER,"[{'page_no': 1, 'bbox': {'l': 478.058, 't': 509.214, 'r': 516.784, 'b': 499.675, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,LLM,"[{'page_no': 1, 'bbox': {'l': 487.38, 't': 496.355, 'r': 507.461, 'b': 486.816, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 3.0]}]",
text,Manipulation,"[{'page_no': 1, 'bbox': {'l': 358.581, 't': 443.26, 'r': 396.512, 'b': 437.946, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 12.0]}]",
text,Environment,"[{'page_no': 1, 'bbox': {'l': 359.543, 't': 436.097, 'r': 395.545, 'b': 430.783, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 11.0]}]",
text,Manipulation,"[{'page_no': 1, 'bbox': {'l': 477.512, 't': 444.926, 'r': 515.442, 'b': 439.611, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 12.0]}]",
text,Environment,"[{'page_no': 1, 'bbox': {'l': 478.473, 't': 437.762, 'r': 514.475, 'b': 432.448, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 11.0]}]",
text,Many Failures!,"[{'page_no': 1, 'bbox': {'l': 348.29, 't': 415.914, 'r': 390.369, 'b': 410.6, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 14.0]}]",
text,Performance Boost!,"[{'page_no': 1, 'bbox': {'l': 461.573, 't': 415.824, 'r': 518.561, 'b': 410.51, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 18.0]}]",
text,BLAZER,"[{'page_no': 1, 'bbox': {'l': 526.407, 't': 524.738, 'r': 545.02, 'b': 520.153, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,Training,"[{'page_no': 1, 'bbox': {'l': 525.666, 't': 518.557, 'r': 545.754, 'b': 513.973, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",
text,Basketball in Hoop,"[{'page_no': 1, 'bbox': {'l': 318.618, 't': 601.617, 'r': 369.517, 'b': 597.493, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 18.0]}]",
text,Meat off The Grill,"[{'page_no': 1, 'bbox': {'l': 374.493, 't': 601.262, 'r': 422.564, 'b': 597.139, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 18.0]}]",
text,Open Bottle,"[{'page_no': 1, 'bbox': {'l': 441.587, 't': 601.396, 'r': 472.691, 'b': 597.272, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 11.0]}]",
text,Close The Jar,"[{'page_no': 1, 'bbox': {'l': 492.254, 't': 601.211, 'r': 529.014, 'b': 597.087, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 13.0]}]",
text,TASKS,"[{'page_no': 1, 'bbox': {'l': 413.827, 't': 617.767, 'r': 438.082, 'b': 610.493, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 5.0]}]",
text,"[13], [14]. One successful line of work in this direction is based on bootstrapping [13], where pretrained LLMs are first used to generate high-quality rationales and are then finetuned to yield improved performance while using generated rationales as training examples. Bootstrapping and self-improvement have been shown to be particularly effective for problems that require non-trivial solutions and offer simple verification, as for the case of many problems in mathematics and common sense reasoning [15]. We note that robotic manipulation tasks frequently belong to such class of problems since their success can often be certified by merely verifying the end states of manipulated objects.","[{'page_no': 1, 'bbox': {'l': 313.2, 't': 260.424, 'r': 558.001, 'b': 120.36500000000001, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 696.0]}]",
text,"Inspired by the idea of bootstrapping, we propose BLAZER, a framework that bootstraps LLM-based manipulation agents using automatically generated and verified demonstrations. Given language-defined tasks, such as 'stack blocks' or 'open wine bottle' , we follow previous","[{'page_no': 1, 'bbox': {'l': 313.2, 't': 114.77999999999997, 'r': 558.001, 'b': 58.40700000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 270.0]}]",
text,"work [11], [16] and use general-purpose LLM with strong reasoning and coding capabilities to generate executable manipulation plans. Next, we execute such plans in a simulator and evaluate their success. Successful plans for diverse tasks form a training set for supervised finetuning (SFT) of a smaller-scale LLM, which learns to improve manipulation abilities using no human supervision, see Fig. 1.","[{'page_no': 2, 'bbox': {'l': 54.0, 't': 736.449, 'r': 298.801, 'b': 656.166, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 401.0]}]",
text,"The BLAZER training uses privileged information in the form of object locations, orientations, and dimensions provided by the simulator. To deploy BLAZER in the real world, we design a vision pipeline using Molmo [17] and M2T2 [18] for object state estimation. Notably, our LLaMA8B model trained with BLAZER significantly outperforms its initial and larger teacher model LLaMA-70B used to generate training demonstrations. Moreover, despite being trained in simulation, we demonstrate off-the-shelf transfer of BLAZER to real-world manipulation tasks where LLaMA8B ( 47 . 8% ) significantly outperforms the success rate of LLaMA-70B ( 33 . 3% ). We perform extensive experimental evaluation and demonstrate consistent improvements of BLAZER in both the real world and in simulation for a variety of tasks. BLAZER outperforms state-of-the-art zeroshot MALMM [16], it generalizes to tasks unseen during training and requires no manual demonstrations at any stage of the learning process.","[{'page_no': 2, 'bbox': {'l': 54.0, 't': 652.691, 'r': 298.802, 'b': 440.901, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 985.0]}]",
text,"In summary, our work makes the following contributions:","[{'page_no': 2, 'bbox': {'l': 63.963, 't': 437.426, 'r': 298.801, 'b': 428.874, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 55.0]}]",
list_item,"We introduce BLAZER, the framework that bootstraps a generic LLM and enables self-improvement of zeroshot manipulation agents using automatically generated training demonstrations.","[{'page_no': 2, 'bbox': {'l': 64.862, 't': 423.327, 'r': 298.801, 'b': 378.91, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 182.0]}]",
list_item,"Through extensive experiments and ablations, we demonstrate BLAZER to result in significant improvements for a range of manipulation tasks.","[{'page_no': 2, 'bbox': {'l': 64.862, 't': 375.507, 'r': 298.801, 'b': 343.044, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 141.0]}]",
list_item,We further demonstrate off-the-shelf transfer of simulator-trained BLAZER to real-world manipulation tasks while using no manual demonstrations in any part of the training process.,"[{'page_no': 2, 'bbox': {'l': 64.862, 't': 339.641, 'r': 298.801, 'b': 295.224, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 182.0]}]",
section_header,II. RELATED WORK,"[{'page_no': 2, 'bbox': {'l': 133.452, 't': 284.487, 'r': 219.354, 'b': 275.93499999999995, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 16.0]}]",1.0
text,"We discus related work on policy learning, self-improving models and scaling training data for robotics below.","[{'page_no': 2, 'bbox': {'l': 54.0, 't': 268.96399999999994, 'r': 298.801, 'b': 248.457, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 110.0]}]",
section_header,A. Language and Vision Foundational Models for Robotics,"[{'page_no': 2, 'bbox': {'l': 54.0, 't': 237.899, 'r': 296.828, 'b': 229.31100000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 55.0]}]",1.0
text,"Visumotor policies [19], [20], [21] trained on manually collected demonstrations have shown great success in robotic manipulation. However, such models trained from scratch lack generalization to new tasks and environments. The incorporation of vision-language models (VLMs) into end-toend robotic control, in the form of Vision-Language Action Models [22], [2], [3], [4], has enhanced generalization and enabled emergent semantic reasoning. The success of these methods, however, still relies on the collection of large-scale human demonstrations, which is expensive. ManipLLM [23] explores VLM finetuning with chain-of-thought reasoning for robotic manipulation tasks. This approach, however, requires test-time adaptation to overcome sim-to-real gap. In contrast, our framework enables self-improvement using no human supervision. Moreover, our LLM agents, combined with our vision pipeline, directly transfer to real-world tasks without additional training.","[{'page_no': 2, 'bbox': {'l': 54.0, 't': 222.37599999999998, 'r': 298.801, 'b': 58.40700000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 814.0]}, {'page_no': 2, 'bbox': {'l': 313.2, 't': 736.448, 'r': 558.001, 'b': 703.986, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [815.0, 961.0]}]",
text,"To overcome the need of large-scale training data and to facilitate generalization to new tasks, recent work explores LLMs and VLMs for zero-shot robotic manipulation. Code as Policies [11] and MALMM [16] deploy LLM for writing robot policy code, while Voxposer [24] and GenSim [8], [9] couple code generation capabiltities of LLM with multimodal reasoning capabilities of VLM to generate 3D value map for trajectory estimation and to automatically create simulator tasks, respectively. AHA [25] demonstrates that VLMs can be used for detecting and adapting to failures. Our approach is closely related to MALMM [16] and Code as Policies [11]. While these methods remain dependent on careful prompt engineering and require much computation at test time, our approach enables self-improvement using automatically generated training data and can run using relatively small and efficient LLMs at inference time.","[{'page_no': 2, 'bbox': {'l': 313.2, 't': 700.422, 'r': 558.001, 'b': 512.542, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 908.0]}]",
section_header,B. Self-improving models,"[{'page_no': 2, 'bbox': {'l': 313.2, 't': 501.225, 'r': 417.14, 'b': 492.637, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 24.0]}]",1.0
text,"Recent work improves the reasoning capabilities of LLMs by generating few-shot rationales [26], [12], [27], bootstrapping [13], and reinforcement learning [28], [29], [15]. Among these approaches, self-training [13] stands out as a particularly scalable and successful strategy. In this approach, general-purpose LLMs are first used to generate high-quality rationales that are later deployed to train either improved versions of original models or smaller models [30].","[{'page_no': 2, 'bbox': {'l': 313.2, 't': 485.39, 'r': 558.001, 'b': 393.152, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 469.0]}]",
text,"The idea of self-improvement has also been explored in robotics e.g., to learn low-level visuomotor policies from a large dataset of grasping attempts [31] or from hourslong object poking interactions [32]. More recent methods focus on correcting manipulation failures at test time by reasoning about past experience [33] or detecting misalignment between planned and executed actions [34]. Another work, ReFineVLA [35], augments manipulation datasets with action rationales using Gemini [36], thereby enabling VLAs to reason about their actions. Related to our approach, SC-VLA [37] enables self-correction of VLA models from successful task executions. This parallel work, however, is mostly focused on low-level pushing and pulling actions, and requires explicit failure detection. In contrast, our bootstrapping approach only relies on success verification at the task level and addresses a variety of complex tasks that require high-level reasoning.","[{'page_no': 2, 'bbox': {'l': 313.2, 't': 389.587, 'r': 558.001, 'b': 189.75299999999993, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 954.0]}]",
section_header,C. Data Generation for Manipulation,"[{'page_no': 2, 'bbox': {'l': 313.2, 't': 178.43600000000004, 'r': 468.806, 'b': 169.84799999999996, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 35.0]}]",1.0
text,"Many efforts have been dedicated to scale up training data for manipulation tasks. Some works collect real-world grasping data [31], [6] by deploying random trials followed by verification as well as collection of human demonstrations. KALIE [38] curated human-annotated affordance data as an alternative to robot demonstrations, whereas PhysObjects [39] collected an object-centric dataset to train a VLM with the physical concepts of common household objects. Another approach, LLaRA [40], adopted behavior cloning","[{'page_no': 2, 'bbox': {'l': 313.2, 't': 162.60000000000002, 'r': 558.001, 'b': 58.40700000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 516.0]}]",
text,Close Jar,"[{'page_no': 3, 'bbox': {'l': 179.761, 't': 715.846, 'r': 229.155, 'b': 705.367, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 9.0]}]",
text,Data Generation,"[{'page_no': 3, 'bbox': {'l': 163.598, 't': 674.249, 'r': 248.609, 'b': 664.425, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 15.0]}]",
text,ε,"[{'page_no': 3, 'bbox': {'l': 171.024, 't': 699.955, 'r': 178.891, 'b': 682.026, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,τ,"[{'page_no': 3, 'bbox': {'l': 232.935, 't': 690.59, 'r': 237.703, 'b': 680.805, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,τ,"[{'page_no': 3, 'bbox': {'l': 253.743, 't': 637.076, 'r': 257.624, 'b': 629.11, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,τ,"[{'page_no': 3, 'bbox': {'l': 240.773, 't': 723.927, 'r': 251.566, 'b': 701.778, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,ρ,"[{'page_no': 3, 'bbox': {'l': 230.427, 't': 699.799, 'r': 238.18, 'b': 687.349, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,Supervised Finetuning,"[{'page_no': 3, 'bbox': {'l': 324.873, 't': 618.796, 'r': 403.791, 'b': 612.172, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 21.0]}]",
text,T,"[{'page_no': 3, 'bbox': {'l': 104.399, 't': 736.361, 'r': 117.79, 'b': 715.425, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,LLM,"[{'page_no': 3, 'bbox': {'l': 290.649, 't': 599.851, 'r': 308.629, 'b': 591.31, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 3.0]}]",
text,ε,"[{'page_no': 3, 'bbox': {'l': 280.783, 't': 724.687, 'r': 286.84, 'b': 710.884, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,ε,"[{'page_no': 3, 'bbox': {'l': 337.447, 't': 690.907, 'r': 341.162, 'b': 682.439, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,∑,"[{'page_no': 3, 'bbox': {'l': 329.48, 't': 694.841, 'r': 337.77, 'b': 686.843, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,τ,"[{'page_no': 3, 'bbox': {'l': 283.413, 't': 661.885, 'r': 286.739, 'b': 655.06, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,ρ,"[{'page_no': 3, 'bbox': {'l': 281.664, 't': 668.309, 'r': 287.072, 'b': 659.624, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,Environment,"[{'page_no': 3, 'bbox': {'l': 289.668, 't': 720.505, 'r': 326.377, 'b': 712.676, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 11.0]}]",
text,Object,"[{'page_no': 3, 'bbox': {'l': 343.342, 't': 695.018, 'r': 359.959, 'b': 688.297, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,States,"[{'page_no': 3, 'bbox': {'l': 344.422, 't': 688.265, 'r': 358.881, 'b': 681.545, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,Commands,"[{'page_no': 3, 'bbox': {'l': 406.121, 't': 673.396, 'r': 437.513, 'b': 665.567, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",
text,Task Description,"[{'page_no': 3, 'bbox': {'l': 289.165, 't': 664.827, 'r': 336.04, 'b': 656.998, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 16.0]}]",
text,'Close the jar.',"[{'page_no': 3, 'bbox': {'l': 294.978, 't': 652.342, 'r': 329.334, 'b': 645.557, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 16.0]}]",
text,LLM,"[{'page_no': 3, 'bbox': {'l': 367.798, 't': 688.142, 'r': 383.386, 'b': 680.737, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 3.0]}]",
text,Boot,"[{'page_no': 3, 'bbox': {'l': 384.084, 't': 683.542, 'r': 395.209, 'b': 676.936, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 4.0]}]",
text,Task Execution,"[{'page_no': 3, 'bbox': {'l': 454.558, 't': 719.901, 'r': 490.124, 'b': 713.263, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 14.0]}]",
text,τ,"[{'page_no': 3, 'bbox': {'l': 421.83, 't': 684.477, 'r': 425.756, 'b': 676.421, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,C,"[{'page_no': 3, 'bbox': {'l': 415.518, 't': 689.44, 'r': 422.077, 'b': 679.179, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,VERIFICATION,"[{'page_no': 3, 'bbox': {'l': 450.593, 't': 652.043, 'r': 486.74, 'b': 645.258, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 12.0]}]",
text,BLAZER,"[{'page_no': 3, 'bbox': {'l': 463.633, 't': 623.253, 'r': 495.72, 'b': 615.349, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,LLM,"[{'page_no': 3, 'bbox': {'l': 471.357, 't': 612.599, 'r': 487.995, 'b': 604.695, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 3.0]}]",
text,datasets for instruction tuning tailored for manipulation tasks. This approach relies of external demonstrations and uses manually curated templates to generate question-answer pairs.,"[{'page_no': 3, 'bbox': {'l': 54.0, 't': 505.33, 'r': 298.801, 'b': 460.912, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 183.0]}]",
text,"Another popular direction is to collect demonstrations in simulation. Nevertheless, this approach is still challenging as it requires significant human efforts to create diverse simulation tasks and scenes to allow generalization of the learned policies. To address this issue, recent work [8], [9] has leveraged coding LLMs with multimodal reasoning capabilities to generate complex and realistic simulation tasks without human supervision. DemoGen [41] adapted a single human trajectory to novel object configurations using 3D point cloud editing, yielding synthetic demonstrations that improve manipulation policies. Unlike prior work, our work focuses on scaling up demonstrations for a given set of tasks, while preserving generalization capabilities of LLMs. We propose a framework where we can generate an arbitrary number of data in simulation, benefiting from the reasoning and coding capabilities of LLMs to synthesize verification data with no human intervention. We subsequently use the generated data for the training of our agent tailored for manipulation.","[{'page_no': 3, 'bbox': {'l': 54.0, 't': 456.859, 'r': 298.801, 'b': 233.11400000000003, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1070.0]}]",
section_header,III. METHOD,"[{'page_no': 3, 'bbox': {'l': 147.534, 't': 217.46000000000004, 'r': 205.273, 'b': 208.90800000000002, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 11.0]}]",1.0
text,"Here, we introduce the BLAZER methodology for training specialized LLM agents for robotic manipulation. In short, we aim to finetune an existing lightweight LLM on synthetically-generated data, tuning it for the generation of manipulation-oriented robotics policies. An overview of our method is shown in Fig. 2. This section first introduces the formalization and the problem setup (Section III-A), and we further describe how the BLAZER training works in Section III-B. Since our training procedure only exploits automatic annotations generated by a simulator, we also introduce a vision-based pipeline for the deployment in the real world of the trained LLM agent (Section III-C).","[{'page_no': 3, 'bbox': {'l': 54.0, 't': 198.466, 'r': 298.801, 'b': 58.40700000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 683.0]}]",
section_header,A. Formalization and background,"[{'page_no': 3, 'bbox': {'l': 313.2, 't': 505.508, 'r': 451.59, 'b': 496.92, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 31.0]}]",1.0
text,"We assume a manipulation environment E , where a robotic gripper G interacts with objects to solve a task τ that we can automatically verify in simulation. To achieve this, G needs to manipulate a set of K objects { o 1 , o 2 , ..., o K } in E , using a sequence of I control functions sampled from a primitives set F = { open gripper , close gripper , move gripper } . Primitives in F are combined to define a policy composed of control commands C τ . Formally, this is written as follows:","[{'page_no': 3, 'bbox': {'l': 313.2, 't': 490.613, 'r': 558.005, 'b': 397.297, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 490.0]}]",
formula,,"[{'page_no': 3, 'bbox': {'l': 369.929, 't': 390.581, 'r': 557.997, 'b': 377.91, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 50.0]}]",
text,"The primitives open gripper and close gripper can be executed without additional knowledge of the environment. In contrast, move gripper requires as input the final desired gripper position and orientation. During execution, the gripper joints' positions are computed with inverse kinematics.","[{'page_no': 3, 'bbox': {'l': 313.2, 't': 369.951, 'r': 558.003, 'b': 313.399, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 292.0]}]",
text,"Following the open-loop single-agent setup introduced in MALMM [16], C τ can be obtained by prompting largescale LLMs such as GPT-4 [42]. Logically, in this case the LLM must also generate all the code necessary for a correct execution. To achieve this, we define the current state of the environment as Σ E = { o i } K i =1 , where each o i = [ ξ i , ϕ i , l i , w i , h i ] , ∀ i ∈ [1 , K ] encodes the 3D center position ξ i of the object o i , the orientation on the z-axis ϕ i , and the metric dimensions l (length), w (width) and h (height). We also define ρ τ as a textual description of τ , to enable LLM prompting. We then derive C τ by prompting the LLM with ρ τ and a textual representation of Σ E . For more details, refer to [16]. In short, the control commands generation is expressed as follows:","[{'page_no': 3, 'bbox': {'l': 313.2, 't': 310.055, 'r': 558.005, 'b': 146.08500000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 810.0]}]",
formula,,"[{'page_no': 3, 'bbox': {'l': 394.505, 't': 136.53700000000003, 'r': 558.0, 'b': 126.90800000000002, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 29.0]}]",
section_header,B. Bootstrapping manipulation agents with simulation,"[{'page_no': 3, 'bbox': {'l': 313.2, 't': 118.03800000000001, 'r': 535.764, 'b': 109.45000000000005, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 52.0]}]",1.0
text,"In many scenarios, naively prompting an LLM for C τ as in Eq. 2 results in planning or coding errors [16]. While MALMM mitigates the problem with an expensive multiagent pipeline, our goal is instead to train a single LLM","[{'page_no': 3, 'bbox': {'l': 313.2, 't': 103.14300000000003, 'r': 558.001, 'b': 58.40700000000004, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 221.0]}]",
text,"agent LLMBLAZER, with specific capabilities tuned ad hoc on manipulation tasks.","[{'page_no': 4, 'bbox': {'l': 54.0, 't': 736.449, 'r': 298.802, 'b': 715.941, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 79.0]}]",
text,"Our idea is to obtain LLMBLAZER by finetuning a pretrained lightweight language model without requiring human supervision, as we show in Figure 2. To do so, we use synthetic examples tailored for C τ generation, obtained within the interactions of an LLM with a manipulationoriented simulator such as CoppeliaSim. We first define a set of T representative tasks T = { τ 1 , τ 2 , ..., τ T } that we use for data generation. Each task is processed by a language model LLMboot to generate C τ as described in Section III-A. Importantly, since we operate in a simulated environment, we can automatically verify if C τ successfully solves τ , thanks to the automatic verification criteria in manipulation-oriented simulators. Hence, for given commands C τ and a task τ , we associate a verification operator V defined as follows:","[{'page_no': 4, 'bbox': {'l': 54.0, 't': 712.564, 'r': 298.805, 'b': 548.594, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 825.0]}]",
