label,content,prov,level
page_header,Improving GUI Grounding with Explicit Position-to-Coordinate Mapping,"[{'page_no': 2, 'bbox': {'l': 158.853, 't': 754.979, 'r': 453.148, 'b': 746.427, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 68.0]}]",
caption,Figure 1: A comparison between traditional direct positional embedding-to-pixel coordinate mapping and RULER's explicit coordinate mapping.,"[{'page_no': 2, 'bbox': {'l': 72.0, 't': 562.602, 'r': 539.997, 'b': 543.141, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 139.0]}]",
text,',"[{'page_no': 2, 'bbox': {'l': 100.2, 't': 715.533, 'r': 104.119, 'b': 704.978, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,Record the sound,"[{'page_no': 2, 'bbox': {'l': 104.123, 't': 715.533, 'r': 196.649, 'b': 704.978, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 16.0]}]",
text,',"[{'page_no': 2, 'bbox': {'l': 196.68, 't': 715.533, 'r': 200.599, 'b': 704.978, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,"(30, 22)","[{'page_no': 2, 'bbox': {'l': 259.346, 't': 589.438, 'r': 295.681, 'b': 581.88, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",
text,Image Token,"[{'page_no': 2, 'bbox': {'l': 248.483, 't': 713.861, 'r': 305.928, 'b': 704.839, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 11.0]}]",
text,Position Embedding,"[{'page_no': 2, 'bbox': {'l': 232.833, 't': 605.729, 'r': 322.134, 'b': 596.707, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 18.0]}]",
text,Traditional Direct Mapping,"[{'page_no': 2, 'bbox': {'l': 344.887, 't': 709.445, 'r': 455.976, 'b': 701.506, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 26.0]}]",
text,Explicit Coordinate Mapping with RULER,"[{'page_no': 2, 'bbox': {'l': 343.798, 't': 649.05, 'r': 517.636, 'b': 641.111, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 38.0]}]",
text,'300',"[{'page_no': 2, 'bbox': {'l': 482.55, 't': 692.83, 'r': 517.776, 'b': 683.988, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 5.0]}]",
text,'84',"[{'page_no': 2, 'bbox': {'l': 485.568, 't': 677.943, 'r': 513.752, 'b': 669.101, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 4.0]}]",
text,Direct PE to,"[{'page_no': 2, 'bbox': {'l': 405.584, 't': 697.374, 'r': 438.365, 'b': 692.141, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 12.0]}]",
text,Token Mapping,"[{'page_no': 2, 'bbox': {'l': 401.158, 't': 690.333, 'r': 441.226, 'b': 685.1, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 13.0]}]",
text,280,"[{'page_no': 2, 'bbox': {'l': 438.694, 't': 632.91, 'r': 451.338, 'b': 626.143, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 3.0]}]",
text,𝑥,"[{'page_no': 2, 'bbox': {'l': 521.502, 't': 694.213, 'r': 526.854, 'b': 684.157, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,𝑦,"[{'page_no': 2, 'bbox': {'l': 521.402, 't': 679.628, 'r': 527.035, 'b': 669.572, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,"(30, 30)","[{'page_no': 2, 'bbox': {'l': 432.742, 't': 618.963, 'r': 456.94, 'b': 613.981, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",
text,84,"[{'page_no': 2, 'bbox': {'l': 440.831, 't': 604.67, 'r': 449.25, 'b': 597.903, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 2.0]}]",
text,"(22, 22)","[{'page_no': 2, 'bbox': {'l': 432.742, 't': 590.756, 'r': 456.94, 'b': 585.775, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",
text,PE to RULER,"[{'page_no': 2, 'bbox': {'l': 395.684, 't': 636.451, 'r': 433.089, 'b': 631.218, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 11.0]}]",
text,Mapping,"[{'page_no': 2, 'bbox': {'l': 402.524, 't': 629.425, 'r': 424.689, 'b': 624.174, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 7.0]}]",
text,'300',"[{'page_no': 2, 'bbox': {'l': 482.55, 't': 633.97, 'r': 517.776, 'b': 625.127, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 5.0]}]",
text,'84',"[{'page_no': 2, 'bbox': {'l': 485.568, 't': 605.759, 'r': 513.764, 'b': 596.901, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 4.0]}]",
text,𝑥,"[{'page_no': 2, 'bbox': {'l': 521.502, 't': 635.344, 'r': 526.854, 'b': 625.288, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,𝑦,"[{'page_no': 2, 'bbox': {'l': 521.402, 't': 607.438, 'r': 527.046, 'b': 597.362, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,+20,"[{'page_no': 2, 'bbox': {'l': 462.332, 't': 636.594, 'r': 472.226, 'b': 631.361, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 3.0]}]",
text,+0,"[{'page_no': 2, 'bbox': {'l': 464.184, 't': 608.086, 'r': 470.848, 'b': 602.853, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 2.0]}]",
text,"We also identify a technical limitation in the way current VLMs encode spatial information. Standard Multidimensional Rotary Positional Embedding (MRoPE), used in state-of-the-art models like Qwen2-VL and Qwen2.5VL (Wang et al., 2024b; Bai et al., 2025), assigns different frequency bands to height and width dimensions sequentially. This creates an imbalance where one dimension receives only high-frequency components while another receives only low-frequency components, leading to uneven spatial modeling capabilities across axes, a previously overlooked issue that impacts grounding precision.","[{'page_no': 2, 'bbox': {'l': 72.0, 't': 518.842, 'r': 540.003, 'b': 455.744, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 598.0]}]",
text,"To address these challenges, we introduce a framework that provides explicit spatial guidance for GUI grounding through two key innovations:","[{'page_no': 2, 'bbox': {'l': 72.0, 't': 447.908, 'r': 540.003, 'b': 428.447, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 140.0]}]",
text,"Firstly, RULER (Rotary position-to-pixeL mappER) tokens establish an explicit coordinate reference system within the model. As illustrated in Figure 1, these auxiliary tokens encode pixel coordinates directly and share positional embeddings with the corresponding image patches. Instead of regressing the coordinates from abstract features, the models can now refer to the nearest RULER token and perform simple bounded arithmetic to determine exact positions. This transforms an unstable regression problem into a robust reference-and-adjustment mechanism, similar to how humans might use gridlines on a map.","[{'page_no': 2, 'bbox': {'l': 72.0, 't': 420.998, 'r': 540.003, 'b': 357.513, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 609.0]}]",
text,"Secondly, Interleaved MRoPE (I-MROPE) addresses frequency imbalance in standard positional encodings. By interleaving rather than sequentially assigning frequency components across spatial dimensions, it distributes highand low-frequency signals uniformly across width and height. This produces balanced spatial representations and improves the model's ability to distinguish positions along both axes equally.","[{'page_no': 2, 'bbox': {'l': 72.0, 't': 350.064, 'r': 540.003, 'b': 308.397, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 410.0]}]",
text,"Training models from scratch with our framework and finetuning existing VLMs with RULER tokens, we perform extensive evaluation on ScreenSpot (Cheng et al., 2024), ScreenSpot-V2 (Wu et al., 2025b), and ScreenSpot-Pro (Li et al., 2025b). Our approach achieves significant improvements: on the challenging ScreenSpot Pro benchmark with high-resolution displays exceeding our training resolution, we improve accuracy from 31.1% to 37.2% through finetuning alone, demonstrating strong generalization capability. These gains are achieved with minimal computational overhead, as RULER tokens add less than 1% to the total token count even for 8K displays.","[{'page_no': 2, 'bbox': {'l': 72.0, 't': 300.56, 'r': 540.003, 'b': 237.46299999999997, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 649.0]}]",
text,"Our work makes three key contributions: (1) We identify and formalize the implicit mapping problem in current GUI grounding approaches, showing how it leads to poor accuracy and resolution brittleness; (2) We introduce RULER tokens, an explicit coordinate reference mechanism that transforms unstable regression into robust spatial referencing; (3) We present I-MROPE, a balanced positional embedding scheme that provides equal spatial modeling capacity across dimensions. Together, these innovations establish a more principled approach to GUI grounding that treats pixel-level precision as an explicit architectural concern rather than an emergent property.","[{'page_no': 2, 'bbox': {'l': 72.0, 't': 229.62599999999998, 'r': 540.003, 'b': 166.529, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 659.0]}]",
section_header,2 Related Work,"[{'page_no': 2, 'bbox': {'l': 72.0, 't': 147.543, 'r': 161.09, 'b': 136.79499999999996, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 14.0]}]",1.0
text,"Positional Embeddings in Vision-Languge Models. Rotary Positional Embedding (RoPE) (Su et al., 2024) encodes positions by rotating embedding dimension pairs with angles proportional to token indices, but suffers from a long-term decay bias in low-frequency components. HoPE (Li et al., 2025a) zeros out these low-frequency terms to prevent long-range bias. For vision-language models, abundant visual tokens exhaust RoPE's context window; V2PE (Ge et al., 2024) rescales step sizes for vision tokens, while CircleRoPE (Wang et al., 2025a) projects image","[{'page_no': 2, 'bbox': {'l': 72.0, 't': 122.50999999999999, 'r': 540.003, 'b': 69.93399999999997, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 553.0]}]",
page_footer,2,"[{'page_no': 2, 'bbox': {'l': 303.509, 't': 48.597999999999956, 'r': 308.49, 'b': 40.04600000000005, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
page_header,Improving GUI Grounding with Explicit Position-to-Coordinate Mapping,"[{'page_no': 3, 'bbox': {'l': 158.853, 't': 754.979, 'r': 453.148, 'b': 746.427, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 68.0]}]",
caption,"Figure 2: Model architecture. Our framework augments vision-language models with two key innovations: (1) RULER tokens that provide explicit position-to-coordinate mappings, transforming coordinate prediction from regression to retrieval, and (2) I-MROPE that rebalances positional embeddings by interleaving frequency components across spatial dimensions, ensuring equal representational capacity for width and height, and","[{'page_no': 3, 'bbox': {'l': 72.0, 't': 503.379, 'r': 540.003, 'b': 461.712, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 423.0]}]",
text,'How do I switch to French?',"[{'page_no': 3, 'bbox': {'l': 77.043, 't': 714.076, 'r': 171.367, 'b': 707.405, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 28.0]}]",
text,Adding,"[{'page_no': 3, 'bbox': {'l': 129.285, 't': 624.144, 'r': 146.89, 'b': 619.065, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,Multi-dimensional,"[{'page_no': 3, 'bbox': {'l': 129.285, 't': 617.383, 'r': 173.286, 'b': 612.305, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 17.0]}]",
text,Position IDs,"[{'page_no': 3, 'bbox': {'l': 129.285, 't': 610.622, 'r': 159.471, 'b': 605.544, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 12.0]}]",
text,"(0, 0)","[{'page_no': 3, 'bbox': {'l': 75.572, 't': 585.959, 'r': 89.292, 'b': 581.773, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(0, 1)","[{'page_no': 3, 'bbox': {'l': 92.663, 't': 585.959, 'r': 106.383, 'b': 581.773, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(0, 2)","[{'page_no': 3, 'bbox': {'l': 109.446, 't': 585.959, 'r': 123.166, 'b': 581.773, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(0, 3)","[{'page_no': 3, 'bbox': {'l': 126.025, 't': 585.959, 'r': 139.744, 'b': 581.773, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(0, 4)","[{'page_no': 3, 'bbox': {'l': 142.864, 't': 585.959, 'r': 156.584, 'b': 581.773, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(0, 5)","[{'page_no': 3, 'bbox': {'l': 159.66, 't': 585.959, 'r': 173.38, 'b': 581.773, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(1, 0)","[{'page_no': 3, 'bbox': {'l': 75.572, 't': 570.176, 'r': 89.292, 'b': 565.991, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(1, 1)","[{'page_no': 3, 'bbox': {'l': 92.663, 't': 570.176, 'r': 106.383, 'b': 565.991, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(1, 2)","[{'page_no': 3, 'bbox': {'l': 109.446, 't': 570.176, 'r': 123.166, 'b': 565.991, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(1, 3)","[{'page_no': 3, 'bbox': {'l': 126.025, 't': 570.176, 'r': 139.744, 'b': 565.991, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(1, 4)","[{'page_no': 3, 'bbox': {'l': 142.864, 't': 570.176, 'r': 156.584, 'b': 565.991, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(1, 5)","[{'page_no': 3, 'bbox': {'l': 159.66, 't': 570.176, 'r': 173.38, 'b': 565.991, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(2, 0)","[{'page_no': 3, 'bbox': {'l': 75.572, 't': 553.626, 'r': 89.292, 'b': 549.44, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(2, 1)","[{'page_no': 3, 'bbox': {'l': 92.663, 't': 553.626, 'r': 106.383, 'b': 549.44, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(2, 2)","[{'page_no': 3, 'bbox': {'l': 109.446, 't': 553.626, 'r': 123.166, 'b': 549.44, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(2, 3)","[{'page_no': 3, 'bbox': {'l': 126.025, 't': 553.626, 'r': 139.744, 'b': 549.44, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(2, 4)","[{'page_no': 3, 'bbox': {'l': 142.864, 't': 553.626, 'r': 156.584, 'b': 549.44, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(2, 5)","[{'page_no': 3, 'bbox': {'l': 159.66, 't': 553.626, 'r': 173.38, 'b': 549.44, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(3, 0)","[{'page_no': 3, 'bbox': {'l': 75.572, 't': 536.118, 'r': 89.292, 'b': 531.932, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(3, 1)","[{'page_no': 3, 'bbox': {'l': 92.663, 't': 536.118, 'r': 106.383, 'b': 531.932, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(3, 2)","[{'page_no': 3, 'bbox': {'l': 109.446, 't': 536.118, 'r': 123.166, 'b': 531.932, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(3, 3)","[{'page_no': 3, 'bbox': {'l': 126.025, 't': 536.118, 'r': 139.744, 'b': 531.932, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(3, 4)","[{'page_no': 3, 'bbox': {'l': 142.864, 't': 536.118, 'r': 156.584, 'b': 531.932, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(3, 5)","[{'page_no': 3, 'bbox': {'l': 159.344, 't': 536.118, 'r': 173.063, 'b': 531.932, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,System Prompt,"[{'page_no': 3, 'bbox': {'l': 196.445, 't': 559.855, 'r': 247.158, 'b': 553.184, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 13.0]}]",
text,"(0, 0)","[{'page_no': 3, 'bbox': {'l': 183.732, 't': 579.105, 'r': 195.871, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(1, 1)","[{'page_no': 3, 'bbox': {'l': 200.445, 't': 579.105, 'r': 212.583, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,"(20, 20)","[{'page_no': 3, 'bbox': {'l': 237.447, 't': 579.105, 'r': 255.321, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",
text,0,"[{'page_no': 3, 'bbox': {'l': 261.244, 't': 589.624, 'r': 265.379, 'b': 582.954, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,…,"[{'page_no': 3, 'bbox': {'l': 222.876, 't': 591.824, 'r': 229.799, 'b': 581.503, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,RULER Tokens,"[{'page_no': 3, 'bbox': {'l': 253.469, 't': 559.552, 'r': 307.076, 'b': 552.881, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 12.0]}]",
text,"(21, 21)(23, 23) (25, 25)","[{'page_no': 3, 'bbox': {'l': 254.448, 't': 579.105, 'r': 306.839, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 25.0]}]",
text,…,"[{'page_no': 3, 'bbox': {'l': 365.047, 't': 591.339, 'r': 371.958, 'b': 581.036, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,Vision Tokens,"[{'page_no': 3, 'bbox': {'l': 333.925, 't': 560.298, 'r': 380.682, 'b': 553.628, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 13.0]}]",
text,"(21, 21) (21, 22)(21, 23)","[{'page_no': 3, 'bbox': {'l': 305.916, 't': 579.105, 'r': 357.821, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 25.0]}]",
text,"(23, 25)","[{'page_no': 3, 'bbox': {'l': 379.273, 't': 579.105, 'r': 397.147, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",
text,User Query,"[{'page_no': 3, 'bbox': {'l': 424.339, 't': 560.298, 'r': 462.209, 'b': 553.628, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 10.0]}]",
text,"(26, 26)","[{'page_no': 3, 'bbox': {'l': 396.281, 't': 579.105, 'r': 414.155, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 8.0]}]",
text,…,"[{'page_no': 3, 'bbox': {'l': 455.524, 't': 592.17, 'r': 462.436, 'b': 581.867, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 1.0]}]",
text,"(27, 27) (28, 28)","[{'page_no': 3, 'bbox': {'l': 413.606, 't': 579.105, 'r': 448.468, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 17.0]}]",
text,"(38, 38)(39, 39) (40, 40)(41, 41)","[{'page_no': 3, 'bbox': {'l': 470.208, 't': 579.105, 'r': 539.438, 'b': 573.456, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 33.0]}]",
text,Outputs,"[{'page_no': 3, 'bbox': {'l': 500.245, 't': 560.601, 'r': 526.208, 'b': 553.931, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 7.0]}]",
text,LLM Decoder,"[{'page_no': 3, 'bbox': {'l': 338.256, 't': 695.384, 'r': 385.222, 'b': 688.714, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 11.0]}]",
text,28,"[{'page_no': 3, 'bbox': {'l': 276.675, 't': 589.504, 'r': 284.951, 'b': 582.834, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 2.0]}]",
text,56,"[{'page_no': 3, 'bbox': {'l': 293.345, 't': 589.504, 'r': 301.621, 'b': 582.834, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 2.0]}]",
text,RULER Tokens,"[{'page_no': 3, 'bbox': {'l': 245.969, 't': 679.91, 'r': 299.593, 'b': 673.224, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 12.0]}]",
text,Interleaved MRoPE,"[{'page_no': 3, 'bbox': {'l': 419.05, 't': 679.91, 'r': 486.308, 'b': 673.224, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 17.0]}]",
text,"(10,42)","[{'page_no': 3, 'bbox': {'l': 494.872, 't': 718.773, 'r': 536.3, 'b': 710.943, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 7.0]}]",
text,RoPE,"[{'page_no': 3, 'bbox': {'l': 373.139, 't': 660.034, 'r': 388.235, 'b': 654.955, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 4.0]}]",
text,Vector,"[{'page_no': 3, 'bbox': {'l': 371.871, 't': 653.285, 'r': 389.465, 'b': 648.191, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 6.0]}]",
text,High-frequency,"[{'page_no': 3, 'bbox': {'l': 395.218, 't': 667.809, 'r': 436.645, 'b': 662.73, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 14.0]}]",
text,Low-frequency,"[{'page_no': 3, 'bbox': {'l': 483.618, 't': 667.724, 'r': 523.861, 'b': 662.646, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 13.0]}]",
text,Height Dimension,"[{'page_no': 3, 'bbox': {'l': 400.373, 't': 634.898, 'r': 448.435, 'b': 629.82, 'coord_origin': 'BOTTOMLEFT'}, 'charspan': [0.0, 16.0]}]",
